_key,name,group
0,Myriel,1
1,Napoleon,1
2,Mlle.Baptistine,1
3,Mme.Magloire,1
4,CountessdeLo,1
5,Geborand,1
6,Champtercier,1
7,Cravatte,1
8,Count,1
9,OldMan,1
10,Labarre,2
11,Valjean,2
12,Marguerite,3
13,Mme.deR,2
14,Isabeau,2
15,Gervais,2
16,Tholomyes,3
17,Listolier,3
18,Fameuil,3
19,Blacheville,3
20,Favourite,3
21,Dahlia,3
22,Zephine,3
23,Fantine,3
24,Mme.Thenardier,4
25,Thenardier,4
26,Cosette,5
27,Javert,4
28,Fauchelevent,0
29,Bamatabois,2
30,Perpetue,3
31,Simplice,2
32,Scaufflaire,2
33,Woman1,2
34,Judge,2
35,Champmathieu,2
36,Brevet,2
37,Chenildieu,2
38,Cochepaille,2
39,Pontmercy,4
40,Boulatruelle,6
41,Eponine,4
42,Anzelma,4
43,Woman2,5
44,MotherInnocent,0
45,Gribier,0
46,Jondrette,7
47,Mme.Burgon,7
48,Gavroche,8
49,Gillenormand,5
50,Magnon,5
51,Mlle.Gillenormand,5
52,Mme.Pontmercy,5
53,Mlle.Vaubois,5
54,Lt.Gillenormand,5
55,Marius,8
56,BaronessT,5
57,Mabeuf,8
58,Enjolras,8
59,Combeferre,8
60,Prouvaire,8
61,Feuilly,8
62,Courfeyrac,8
63,Bahorel,8
64,Bossuet,8
65,Joly,8
66,Grantaire,8
67,MotherPlutarch,0
68,Gueulemer,4
69,Babet,4
70,Claquesous,4
71,Montparnasse,4
72,Toussaint,5
73,Child1,10
74,Child2,10
75,Brujon,4
76,Mme.Hucheloup,8
